\LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HUR,MEN,PC_LF,M,2012-12,7.9,
USA,HUR,MEN,PC_LF,M,2013-01,8.2,
USA,HUR,MEN,PC_LF,M,2013-02,7.8,
USA,HUR,MEN,PC_LF,M,2013-03,7.6,
USA,HUR,MEN,PC_LF,M,2013-04,7.8,
USA,HUR,MEN,PC_LF,M,2013-05,7.9,
USA,HUR,MEN,PC_LF,M,2013-06,7.7,
USA,HUR,MEN,PC_LF,M,2013-07,7.7,
USA,HUR,MEN,PC_LF,M,2013-08,7.7,
USA,HUR,MEN,PC_LF,M,2013-09,7.7,
USA,HUR,MEN,PC_LF,M,2013-10,7.5,
USA,HUR,MEN,PC_LF,M,2013-11,7.2,
USA,HUR,MEN,PC_LF,M,2013-12,6.8,
USA,HUR,MEN,PC_LF,M,2014-01,6.8,
USA,HUR,MEN,PC_LF,M,2014-02,6.9,
USA,HUR,MEN,PC_LF,M,2014-03,6.7,
USA,HUR,MEN,PC_LF,M,2014-04,6.4,
USA,HUR,MEN,PC_LF,M,2014-05,6.4,
USA,HUR,MEN,PC_LF,M,2014-06,6.3,
USA,HUR,MEN,PC_LF,M,2014-07,6.2,
USA,HUR,MEN,PC_LF,M,2014-08,6.3,
USA,HUR,MEN,PC_LF,M,2014-09,5.9,
USA,HUR,MEN,PC_LF,M,2014-10,5.6,
USA,HUR,MEN,PC_LF,M,2014-11,5.9,
USA,HUR,MEN,PC_LF,M,2014-12,5.7,
USA,HUR,MEN,PC_LF,M,2015-01,5.8,
USA,HUR,MEN,PC_LF,M,2015-02,5.6,
USA,HUR,MEN,PC_LF,M,2015-03,5.6,
USA,HUR,MEN,PC_LF,M,2015-04,5.5,
USA,HUR,MEN,PC_LF,M,2015-05,5.7,
USA,HUR,MEN,PC_LF,M,2015-06,5.3,
USA,HUR,MEN,PC_LF,M,2015-07,5.2,
USA,HUR,MEN,PC_LF,M,2015-08,5.1,
USA,HUR,MEN,PC_LF,M,2015-09,5.1,
USA,HUR,MEN,PC_LF,M,2015-10,5.1,
USA,HUR,MEN,PC_LF,M,2015-11,5.2,
USA,HUR,MEN,PC_LF,M,2015-12,5.1,
USA,HUR,MEN,PC_LF,M,2016-01,4.8,
USA,HUR,MEN,PC_LF,M,2016-02,4.9,
USA,HUR,MEN,PC_LF,M,2016-03,4.9,
USA,HUR,MEN,PC_LF,M,2016-04,5.1,
USA,HUR,MEN,PC_LF,M,2016-05,4.8,
USA,HUR,MEN,PC_LF,M,2016-06,4.9,
USA,HUR,MEN,PC_LF,M,2016-07,5,
USA,HUR,MEN,PC_LF,M,2016-08,5,
USA,HUR,MEN,PC_LF,M,2016-09,5.1,
USA,HUR,MEN,PC_LF,M,2016-10,5,
USA,HUR,MEN,PC_LF,M,2016-11,4.9,
USA,HUR,MEN,PC_LF,M,2016-12,4.8,
USA,HUR,MEN,PC_LF,M,2017-01,4.7,
USA,HUR,MEN,PC_LF,M,2017-02,4.6,
USA,HUR,MEN,PC_LF,M,2017-03,4.5,
USA,HUR,MEN,PC_LF,M,2017-04,4.5,
USA,HUR,MEN,PC_LF,M,2017-05,4.3,
USA,HUR,MEN,PC_LF,M,2017-06,4.3,
USA,HUR,MEN,PC_LF,M,2017-07,4.3,
USA,HUR,MEN,PC_LF,M,2017-08,4.5,
USA,HUR,MEN,PC_LF,M,2017-09,4.3,
USA,HUR,MEN,PC_LF,M,2017-10,4.3,
